longitude,latitude,examined,positive,prev,alt,temp,prec,hum,dist_aqua
34.3783,-15.0459,14,6,0.428571429,1158,26.62583351,84.93333435,69.7583313,21.82600021
34.3868,-17.9646,32,20,0.625,200,32.68832779,91.2583313,71.60832977,55.47999954
34.4065,-19.4179,96,42,0.4375,12,32.52743149,91.67500305,75.30833435,2.802000046
34.4334,-15.5938,47,13,0.276595745,888,28.49151802,83.31666565,67.42500305,16.71199989
34.4382,-14.571,10,6,0.6,1406,25.11707306,82.16666412,69.98332977,40.40399933
34.4708,-19.2417,53,14,0.264150943,15,32.4805603,88.21666718,74.90833282,4.578000069
34.4833,-22.2167,74,17,0.22972973,193,29.86164284,55.54999924,76.60832977,31.09799957
34.5097,-19.8689,7,5,0.714285714,8,31.40470886,106.8416672,76.59166718,0.671999991
34.5235,-14.7284,13,5,0.384615385,1346,25.49688148,79.53333282,69.34166718,24.84900093
34.5819,-21.5103,17,9,0.529411765,134,29.36198807,63.78333282,77.14167023,6.600999832
34.5941,-19.8834,10,2,0.2,8,31.05861092,106.8416672,76.59166718,0.370999992
34.5978,-19.5014,75,44,0.586666667,14,31.60514832,104.1750031,76.07499695,5.026000023
34.6196,-19.5384,139,63,0.45323741,22,31.60514832,104.1750031,76.07499695,6.592999935
34.6249,-19.5364,4,1,0.25,22,31.60514832,104.1750031,76.07499695,6.967000008
34.6252,-21.1174,21,12,0.571428571,46,30.15589905,72.75,77.19166565,0.588999987
34.6326,-24.7082,8,4,0.5,80,29.7507515,80.06666565,77.06666565,7.519000053
34.6736,-16.6678,13,8,0.615384615,122,33.17719269,66.80833435,68.43333435,13.7329998
34.7022,-24.7404,11,6,0.545454545,73,29.24256134,82.6166687,77.20833588,1.342000008
34.7122,-19.3833,87,48,0.551724138,110,31.13384438,108.1916656,76.1333313,15.4630003
34.7134,-19.5792,4,1,0.25,51,31.00803757,113.25,76.47499847,9.18999958
34.7189,-23.9455,17,11,0.647058824,152,31.01712418,61.78333282,76.46666718,20.17700005
34.7338,-19.622,9,2,0.222222222,47,30.95933533,113.25,76.47499847,3.994999886
34.8043,-12.6079,13,2,0.153846154,507,29.1361084,137.5749969,72.19999695,3.214999914
34.811,-12.6921,6,1,0.166666667,487,28.17526436,133.7833405,71.47499847,0.293000013
34.8185,-24.4925,11,7,0.636363636,21,30.06567764,74.04166412,76.8666687,0.698000014
34.8245,-19.7265,3,0,0,28,30.5637989,117.4250031,76.80833435,4.821000099
34.8342,-21.3306,23,16,0.695652174,60,29.54921341,72.15000153,77.79166412,1.648000002
34.8373,-19.8358,3,0,0,7,30.36745834,125.6583328,77.20833588,0.76700002
34.8396,-23.5014,6,3,0.5,94,30.98827171,69.3833313,76.56666565,15.37100029
34.8437,-19.8443,6,0,0,9,30.36745834,125.6583328,77.20833588,0.370999992
34.8557,-19.8108,4,0,0,7,30.36170197,125.6583328,77.20833588,2.270999908
34.8606,-19.7496,7,0,0,21,30.52259445,125.6583328,77.20833588,5.729000092
34.868,-19.8172,2,0,0,5,30.36170197,125.6583328,77.20833588,3.578000069
34.8682,-19.7682,7,1,0.142857143,16,30.42527771,125.6583328,77.20833588,5.103000164
34.8764,-13.4044,59,24,0.406779661,523,28.85634804,107.7249985,69.17500305,0.811999977
34.8854,-19.8164,2,0,0,4,30.30799675,125.6583328,77.20833588,3.184000015
34.8874,-19.8439,3,1,0.333333333,8,30.29175949,125.6583328,77.20833588,0.50999999
34.8921,-17.1651,23,6,0.260869565,58,33.4398613,68.58333588,70.28333282,0.324000001
34.9083,-19.4736,121,54,0.446280992,42,30.85752678,112.4166641,76.5083313,6.052999973
34.9251,-19.4139,4,2,0.5,62,30.8103447,112.4166641,76.5083313,2.322000027
34.9253,-19.7867,2,0,0,11,30.37085152,125.6583328,77.20833588,0.349000007
34.9499,-17.416,10,0,0,90,33.96498871,70.45833588,71.44999695,7.22300005
35.0035,-20.9733,8,1,0.125,5,29.69326401,81.69166565,77.97499847,0.98299998
35.0112,-22.3173,11,8,0.727272727,75,29.72248459,64.83333588,77.80833435,15.79100037
35.0222,-20.9881,37,22,0.594594595,4,29.69326401,81.69166565,77.97499847,0.328000009
